property_name,SBA,avg_price,lat,long
Cybercity Oriana,647.0,1.06,17.4435,78.3772
Cybercity Oriana,1930.0,1.64,17.4435,78.3772
SN Enclave,1122.0,0.5473,17.5022,78.4716
SN Enclave,1409.0,0.6873,17.5022,78.4716
Candeur Twins,917.5,1.39,17.5169,78.3428
Indis Viva City,1412.0,1.215,17.47,78.3534
Indis Viva City,2259.0,1.94,17.47,78.3534
The Vue Residences,1995.0,1.745,17.3982,78.3749
The Vue Residences,3742.5,3.65,17.3982,78.3749
KSR Greens,1750.0,1.42,17.5169,78.3428
Vazhraa Prathik,1307.5,0.9545,17.5197,78.3779
Vazhraa Prathik,1790.0,1.31,17.5197,78.3779
Aspire Spaces Ameya,1270.0,0.8,17.5169,78.3428
Aspire Spaces Ameya,1717.5,1.08085,17.5169,78.3428
Akruthi Stavya,1207.5,0.65205,17.5513,78.3855
Akruthi Stavya,1490.0,0.8046,17.5513,78.3855
Shree Krishna Homes,1170.0,0.5499,17.5366,78.4845
Shree Krishna Homes,1495.0,0.70265,17.5366,78.4845
IRA Aspiration,1295.0,0.7768999999999999,,78.491684
IRA Aspiration,1845.0,1.10845,,78.491684
Ira Miracle,2055.0,1.2314,,78.491684
KSR Signature 4,1172.5,0.7621500000000001,17.4632,78.2865
KSR Signature 4,1855.0,1.2048,17.4632,78.2865
Akruthi Sri Vatsa,1200.0,0.6599999999999999,17.5502,78.3359
Akruthi Sri Vatsa,1627.5,0.89515,17.5502,78.3359
Incor Lake City,794.0,0.524,17.5287,78.2667
Incor Lake City,1251.5,0.82585,17.5287,78.2667
Incor Lake City,1598.5,1.0567,17.5287,78.2667
RSR The Garden View,1345.5,0.47095,,78.491684
RSR The Garden View,1843.5,0.6452499999999999,,78.491684
RSR The Garden View,2225.0,0.7787999999999999,,78.491684
Risinia The Twinz,1360.0,0.748,17.5513,78.3855
Risinia The Twinz,1857.5,1.0239,17.5513,78.3855
The Edge by Risinia,1321.0,0.7396499999999999,17.5186,78.3963
The Edge by Risinia,1661.0,0.9313,17.5186,78.3963
Devi Homes Samruddhi,1170.0,1.42,17.5287,78.2667
Devi Homes Samruddhi,1565.0,0.755,17.5287,78.2667
Sharvani Sree Hemadurga Paradise,1207.0,0.82665,17.4934,78.3278
Sharvani Sree Hemadurga Paradise,1824.5,1.25,17.4934,78.3278
The Prestige City Hyderabad,1363.5,0.92585,17.322,78.4023
The Prestige City Hyderabad,2032.0,1.385,17.322,78.4023
The Prestige City Hyderabad,3389.5,2.31,17.322,78.4023
Hallmark Skyrena,1325.0,1.1,17.3876,78.3572
Hallmark Skyrena,1945.0,1.6150000000000002,17.3876,78.3572
Vasavi Bhuvi,1417.5,0.76545,17.5366,78.4845
Vasavi Bhuvi,1992.5,1.077,17.5366,78.4845
Aparna Cyber Shine,1291.0,0.8648499999999999,17.4416,78.2785
Aparna Cyber Shine,1678.5,1.125,17.4416,78.2785
Ramky One Orion,1545.0,1.2,17.4249,78.6448
Kalyans Skyway 9,1365.0,0.9282,17.3876,78.3572
Kalyans Skyway 9,1875.0,1.275,17.3876,78.3572
Essen Marvella,1212.5,0.70325,17.5366,78.4845
Essen Marvella,1527.5,0.88595,17.5366,78.4845
Anuhar Gautami Heights,1410.0,0.91675,17.5169,78.3428
Anuhar Gautami Heights,1811.0,1.1800000000000002,17.5169,78.3428
Abinandana Skylark 1,1952.5,1.01415,,78.491684
Lalitha Divine County,1152.5,0.6078,17.4934,78.3278
Lalitha Divine County,1492.5,0.8209,17.4934,78.3278
Subishi Fortuna Towers,2514.0,1.455,17.4393,78.1849
Subishi Fortuna Towers,2752.5,1.64,17.4393,78.1849
BSCPL Bollineni Bion,2065.0,2.58,17.47,78.3534
BSCPL Bollineni Bion,3350.0,4.19,17.47,78.3534
SMR Vinay Heights,1290.0,0.8127,17.363,78.3943
SMR Vinay Heights,1193.6666666666667,1.21,17.363,78.3943
Mahaveer Crystal Garden,2160.0,1.835,17.3667,78.4285
Mahaveer Crystal Garden,3298.6666666666665,4.205,17.3667,78.4285
Vasavi Anandanilayam,1336.0,0.98865,17.3529,78.5357
Vasavi Anandanilayam,2103.5,1.555,17.3529,78.5357
Vasavi Anandanilayam,4079.0,3.02,17.3529,78.5357
Prestige Clairemont,1280.5,2.495,17.3968,78.3348
Prestige Clairemont,1937.5,3.825,17.3968,78.3348
Sukhii Ubuntu,1702.5,1.5,17.3982,78.3749
Sukhii Ubuntu,2230.0,1.96,17.3982,78.3749
The Bodhivriksha,1159.5,0.83485,17.3435,
The Bodhivriksha,1554.5,1.12085,17.3435,
Hallmark Treasor,3422.5,3.08,17.3968,78.3348
Hallmark Treasor,3805.0,3.425,17.3968,78.3348
Venkatadri Vajra S Abode,1245.5,0.78,17.4875,78.3953
Venkatadri Vajra S Abode,1588.0,0.91,17.4875,78.3953
Nirvana Elite 5,3600.0,3.96,17.4486,78.3908
Nirvana Belleza,1890.0,1.46,17.47,78.3534
Hirize Elysia,2507.5,1.88,17.3968,78.3348
Poulomi Avante,1330.0,1.16,17.3968,78.3348
Poulomi Avante,1985.0,1.9,17.3968,78.3348
Ambience Courtyard,1160.0,0.9265,17.406,78.3908
Ambience Courtyard,1890.0,1.51,17.406,78.3908
Beams And Columns 4 Blocks,1207.5,0.7244,17.5022,78.4716
Beams And Columns 4 Blocks,1720.0,1.0324,17.5022,78.4716
Super Homes Abhirama,1439.0,0.9354,17.3457,78.5522
Super Homes Abhirama,2070.0,1.3450000000000002,17.3457,78.5522
ASBL Springs,1210.0,0.6654000000000001,17.4249,78.6448
ASBL Springs,1475.0,0.8111,17.4249,78.6448
Silpas Kalpavriksha,946.5,0.49215,17.5641,78.4377
Silpas Kalpavriksha,1155.5,0.6009,17.5641,78.4377
Green Space Marvel,2292.5,1.72,17.4062,78.3763
Green Space Marvel,4585.0,3.435,17.4062,78.3763
Srias Tiara,1292.5,0.7497,17.5513,78.3855
Srias Tiara,1852.5,1.08015,17.5513,78.3855
Vertex Viraat,1340.0,0.9714,17.5169,78.3428
Vertex Viraat,1790.0,1.295,17.5169,78.3428
P Chenna Ramulus Mahaan,1062.5,0.48,17.090917,
P Chenna Ramulus Mahaan,1310.0,0.524,17.090917,
Avantikas Arudra,1270.0,0.7365999999999999,17.351292,
Avantikas Arudra,1545.0,0.8961,17.351292,
Reliance Sunshine,932.5,0.39305,17.5466,78.2131
Pacifica Hillcrest,863.5,1.18,17.4401,78.3489
Pacifica Hillcrest,1325.5,1.625,17.4401,78.3489
Pacifica Hillcrest,1684.5,1.86,17.4401,78.3489
Gokul Bhuvanam,1397.5,1.0214,17.5197,78.3779
Gokul Bhuvanam,1802.5,1.64,17.5197,78.3779
Suchirindia The Tales of Greek,872.5,0.50605,17.2619,78.388
EIPL The Tamarind,2015.0,1.39,17.4062,78.3763
Makuta Nirvana,1270.0,0.5715,17.5287,78.2667
Makuta Nirvana,1833.0,0.82485,17.5287,78.2667
Makuta Horizon,1478.0,2.09,17.5366,78.4845
Makuta Horizon,2502.6666666666665,2.705,17.5366,78.4845
Vasavi Sarovar,1370.0,1.0275,17.4875,78.3953
Vasavi Sarovar,1900.0,1.425,17.4875,78.3953
Vasavi Sarovar,2900.0,2.175,17.4875,78.3953
Lansum El Dorado,993.5,1.51,17.3876,78.3572
Honer Signatis,2285.0,1.85,17.4875,78.3953
Honer Signatis,3815.0,3.19,17.4875,78.3953
Gem Nakshathra,1292.5,1.02,17.3968,78.3348
Gem Nakshathra,1652.5,1.305,17.3968,78.3348
Riddhi Pramukh Elegance,1165.0,1.48,17.5022,78.4716
Riddhi Pramukh Elegance,2210.0,1.315,17.5022,78.4716
Riddhi Pramukh Elegance,3030.0,1.8,17.5022,78.4716
Sri Aditya Le Grandiose,3561.0,4.8100000000000005,17.4326,78.4071
Prestige Vaishnaoi Rainbow Waters,6356.0,6.99,17.4178,78.389
Prestige Vaishnaoi Rainbow Waters,8001.0,8.8,17.4178,78.389
Pranathis Kiara,1355.0,0.79935,17.4632,78.2865
Pranathis Kiara,1765.0,1.0934,17.4632,78.2865
Vajra The Royal Park,1183.0,0.5913999999999999,17.5749,78.391
Vajra The Royal Park,1524.0,0.76185,17.5749,78.391
IRA M3,1105.0,0.5524,,78.491684
A2A Homeland,1980.0,1.5750000000000002,17.4814,78.449
Vertex Pristine,1277.5,0.89415,17.5011,78.3852
Vertex Pristine,1765.0,1.235,17.5011,78.3852
Aakriti Cyan,1288.0,0.81135,17.4632,78.2865
Aakriti Cyan,1614.5,1.0191,17.4632,78.2865
Sumadhura Horizon,2215.0,2.77,17.47,78.3534
Shangrila Abbham,6000.0,4.2,17.338,78.3826
Forest Edge By Canny,1285.0,0.7195,17.5513,78.3855
Aakruthi Arcadia,1252.5,0.64,17.535,78.4022
Aakruthi Arcadia,1575.0,0.78,17.535,78.4022
Vasavi Skyla,2850.0,2.565,17.4065,78.4772
Primark Eco Nest,1232.5,0.57915,17.5366,78.4845
Primark Eco Nest,1795.0,0.8448,17.5366,78.4845
Aditya Homes,1253.5,0.61425,17.4141,78.5791
Aditya Homes,1551.5,0.7602,17.4141,78.5791
Nirmal Landmark,1100.0,0.825,17.3853,78.5278
Nirmal Landmark,1640.0,1.23,17.3853,78.5278
Ramky One Orbit,1300.0,1.04365,17.4748,78.3103
Ramky One Orbit,1622.5,1.295,17.4748,78.3103
Vayun Meadows Block C,1660.0,0.7968,17.4885,78.5682
Cybercity Marina Skies,1205.0,1.11,17.4435,78.3772
Cybercity Marina Skies,1870.0,1.72,17.4435,78.3772
Cybercity Marina Skies,3465.0,3.33,17.4435,78.3772
Primark De Stature,1207.5,0.664,17.5641,78.4377
Primark De Stature,1800.0,0.99155,17.5641,78.4377
NSL East Luxoria,2426.5,1.88,17.3984,78.5583
NSL East Luxoria,4979.5,3.86,17.3984,78.5583
Vajram IXORA,2315.0,1.62,17.4514,78.3092
