property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
Syamantaka Emerald Heights,PROCAPITUSBuilder,19,5.932222222,2,Apartment,Carpet Area,1145,(106.37 sq.m.),0.7443,5,346,3.3,,,"bachupally,hyderabad"
Syamantaka Emerald Heights,PROCAPITUSBuilder,19,5.932222222,3,Apartment,Carpet Area,1470,(135.64 - 137.5 sq.m.),0.9555,5,346,3.3,,,"bachupally,hyderabad"
Ramky Nextown,Ramky Estates & Farms LtdBuilder,18,8.604166667,2,Apartment,Super Built-up Area,1005,(92.9 - 93.83 sq.m.),,10,550,7.78,3,70%,"isnapur,hyderabad"
Anuhar Towers,Anuhar HomesBuilder,23,9.361538462,2,Apartment,Super Built-up Area,1423.5,(120.4 - 144.09 sq.m.),0.9986,16,578,4.12,4,,"manikonda,hyderabad"
Anuhar Towers,Anuhar HomesBuilder,23,9.361538462,3,Apartment,Super Built-up Area,1821.5,(155.71 - 182.74 sq.m.),1.275,16,578,4.12,4,,"manikonda,hyderabad"
Krishna Bai Residency,SHIVA KRISHNA CONSTRUCTIONSBuilder,14,9.404166667,2,Apartment,Super Built-up Area,1195,(109.63 - 112.41 sq.m.),0.65725,5,80,0.98,1,,"uppal,hyderabad"
Krishna Bai Residency,SHIVA KRISHNA CONSTRUCTIONSBuilder,14,9.404166667,3,Apartment,Super Built-up Area,1535,(141.68 - 143.54 sq.m.),0.8443,5,80,0.98,1,,"uppal,hyderabad"
Confident Ridge,CONFIDENT BUILDERSBuilder,12,0.88625,2,Apartment,Super Built-up Area,1330,(123.1 - 124.03 sq.m.),0.86455,10,154,1.294008,1,,"chandanagar,hyderabad"
Confident Ridge,CONFIDENT BUILDERSBuilder,12,0.88625,3,Apartment,Super Built-up Area,1610,(141.21 - 157.94 sq.m.),1.049,10,154,1.294008,1,,"chandanagar,hyderabad"
Aditya Athena,SRI ADITYA HOMES PRIVATE LIMITEDBuilder,23,7.833333333,3,Apartment,Super Built-up Area,2102.5,(164.44 - 226.22 sq.m.),2.14,15,522,6,6,,"shaikpet,hyderabad"
Trishala Trilok,TRISHALA INFRASTRUCTURE PRIVATE LIMITEDBuilder,22,7.43,3,Apartment,Super Built-up Area,2200,(204.39 sq.m.),1.54,25,539,10.689,5,76%,"Rajendra nagar,hyderabad"
